locus_tag	ftype	gene	EC_number	product
GCA_001683595_00001	CDS			DnaJ-like protein MG200
GCA_001683595_00002	CDS			hypothetical protein
GCA_001683595_00003	CDS			hypothetical protein
GCA_001683595_00004	CDS			hypothetical protein
GCA_001683595_00005	CDS			hypothetical protein
GCA_001683595_00006	CDS			hypothetical protein
GCA_001683595_00007	CDS			hypothetical protein
GCA_001683595_00008	CDS			hypothetical protein
GCA_001683595_00009	CDS			hypothetical protein
GCA_001683595_00010	CDS			hypothetical protein
GCA_001683595_00011	CDS			hypothetical protein
GCA_001683595_00012	CDS			hypothetical protein
GCA_001683595_00013	CDS			hypothetical protein
GCA_001683595_00014	CDS			hypothetical protein
GCA_001683595_00015	CDS	virB1		Type IV secretion system protein virB1
GCA_001683595_00016	CDS	virB2		Type IV secretion system protein virB2
GCA_001683595_00017	CDS	virB4		Type IV secretion system protein virB4
GCA_001683595_00018	CDS			hypothetical protein
GCA_001683595_00019	CDS			hypothetical protein
GCA_001683595_00020	CDS	traG		Conjugal transfer protein TraG
GCA_001683595_00021	CDS			hypothetical protein
GCA_001683595_00022	CDS			hypothetical protein
GCA_001683595_00023	CDS	yadA		Adhesin YadA
GCA_001683595_00024	CDS			hypothetical protein
GCA_001683595_00025	CDS			hypothetical protein
GCA_001683595_00026	CDS			hypothetical protein
GCA_001683595_00027	CDS	nucH	3.1.31.1	Thermonuclease
GCA_001683595_00028	CDS			hypothetical protein
GCA_001683595_00029	CDS			hypothetical protein
GCA_001683595_00030	CDS			hypothetical protein
GCA_001683595_00031	CDS			hypothetical protein
GCA_001683595_00032	CDS	topB_1	5.99.1.2	DNA topoisomerase 3
GCA_001683595_00033	CDS	hns_1		DNA-binding protein H-NS
GCA_001683595_00034	CDS			hypothetical protein
GCA_001683595_00035	CDS	xerD_1		Tyrosine recombinase XerD
GCA_001683595_00036	CDS			hypothetical protein
GCA_001683595_00037	CDS			hypothetical protein
GCA_001683595_00038	CDS			hypothetical protein
GCA_001683595_00039	CDS			hypothetical protein
GCA_001683595_00040	CDS			hypothetical protein
GCA_001683595_00041	CDS			hypothetical protein
GCA_001683595_00042	CDS	pir		PI protein
GCA_001683595_00043	CDS			hypothetical protein
GCA_001683595_00044	CDS			hypothetical protein
