"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001614485.1_ASM161448v1_genomic","GCA_001683595.1_NGF2_genomic","GCA_001891695.1_ASM189169v1_genomic","GCA_001891995.1_ASM189199v1_genomic","GCA_001901445.1_ASM190144v1_genomic","GCA_001911775.1_ASM191177v1_genomic"
"mltB","","Membrane-bound lytic murein transglycosylase B","6","6","1","63","190","","","","1085","1190","1172","GCA_001614485_00731","GCA_001683595_03547","GCA_001891695_02109","GCA_001891995_00801","GCA_001901445_00078","GCA_001911775_04525"
"srlB","","PTS system glucitol/sorbitol-specific EIIA component","6","6","1","63","193","","","","371","371","371","GCA_001614485_00734","GCA_001683595_03550","GCA_001891695_02112","GCA_001891995_00798","GCA_001901445_00081","GCA_001911775_04522"
"gutQ","","Arabinose 5-phosphate isomerase GutQ","6","6","1","63","197","","","","965","965","965","GCA_001614485_00738","GCA_001683595_03554","GCA_001891695_02116","GCA_001891995_00794","GCA_001901445_00085","GCA_001911775_04518"
"hypF","","Carbamoyltransferase HypF","6","6","1","63","201","","","","458","2252","1953","GCA_001614485_00742","GCA_001683595_03558","GCA_001891695_02120","GCA_001891995_00790","GCA_001901445_00089","GCA_001911775_04514"
"ssuE","","FMN reductase (NADPH)","6","6","1","63","6097","","","","575","575","575","GCA_001614485_00743","GCA_001683595_02253","GCA_001891695_03396","GCA_001891995_02015","GCA_001901445_02886","GCA_001911775_02207"
"ompA","","Outer membrane protein A","6","6","1","63","6078","","","","1040","1052","1044","GCA_001614485_00755","GCA_001683595_02266","GCA_001891695_03416","GCA_001891995_01995","GCA_001901445_02907","GCA_001911775_02186"
"yccS_2","","Inner membrane protein YccS","6","6","1","63","6075","","","","632","2162","1905","GCA_001614485_00758","GCA_001683595_02269","GCA_001891695_03419","GCA_001891995_01992","GCA_001901445_02910","GCA_001911775_02183"
"group_1008","","hypothetical protein","6","6","1","63","6324","","","","542","542","542","GCA_001614485_00761","GCA_001683595_01176","GCA_001891695_03926","GCA_001891995_00150","GCA_001901445_04141","GCA_001911775_01082"
"arnB","","UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase","6","6","1","63","6321","","","","1157","1157","1157","GCA_001614485_00764","GCA_001683595_01179","GCA_001891695_03929","GCA_001891995_00147","GCA_001901445_04144","GCA_001911775_01085"
"arnE","","putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE","6","6","1","63","4726","","","","335","335","335","GCA_001614485_00769","GCA_001683595_01184","GCA_001891695_03934","GCA_001891995_00142","GCA_001901445_04149","GCA_001911775_01090"
